"","year","iso3c","sector","co2e_emissions"
"390",1998,"AFG","Other sectors",14.5547925593166
"391",1999,"AFG","Power Industry",0.4434494782821
"392",1999,"AFG","Buildings",0.4657769397472
"393",1999,"AFG","Transport",0.2427298736009
"394",1999,"AFG","Other industrial combustion",0.0902039319843
"395",1999,"AFG","Other sectors",15.583560047438
"396",2000,"AFG","Power Industry",0.34818481743457
"397",2000,"AFG","Buildings",0.32725887294846
"398",2000,"AFG","Transport",0.1812802356196
"399",2000,"AFG","Other industrial combustion",0.08759947365905
"400",2000,"AFG","Other sectors",13.9563867842802
"401",2001,"AFG","Power Industry",0.4196416859142
"402",2001,"AFG","Buildings",0.32869296186356
"403",2001,"AFG","Transport",0.17457405114372
"404",2001,"AFG","Other industrial combustion",0.14376031380858
"405",2001,"AFG","Other sectors",12.4636523055322
"406",2002,"AFG","Power Industry",0.2945975374982
"407",2002,"AFG","Buildings",0.17602154583862
"408",2002,"AFG","Transport",0.12787319732098
"409",2002,"AFG","Other industrial combustion",0.13033948437471
"410",2002,"AFG","Other sectors",14.9366701438692
"411",2003,"AFG","Power Industry",0.3783715529218
"412",2003,"AFG","Buildings",0.17962136075846
"413",2003,"AFG","Transport",0.18254202135722
"414",2003,"AFG","Other industrial combustion",0.18812077734997
"415",2003,"AFG","Other sectors",15.5168918975004
"416",2004,"AFG","Power Industry",0.311090437776
"417",2004,"AFG","Buildings",0.17678311567596
"418",2004,"AFG","Transport",0.1687295333014
"419",2004,"AFG","Other industrial combustion",0.18806489976428
"420",2004,"AFG","Other sectors",15.7010920574252
"421",2005,"AFG","Power Industry",0.4438258269904
"422",2005,"AFG","Buildings",0.22060597159174
"423",2005,"AFG","Transport",0.26377304414645
"424",2005,"AFG","Other industrial combustion",0.2245670356721
"425",2005,"AFG","Other sectors",15.7131139634636
"426",2006,"AFG","Power Industry",0.5102479122334
"427",2006,"AFG","Buildings",0.27476488414428
"428",2006,"AFG","Transport",0.34229926287825
"429",2006,"AFG","Other industrial combustion",0.24805754857652
"430",2006,"AFG","Other sectors",15.7563894523696
"431",2007,"AFG","Power Industry",0.6427442633304
"432",2007,"AFG","Buildings",0.28888259835256
"433",2007,"AFG","Transport",0.29540979748905
"434",2007,"AFG","Other industrial combustion",0.81366049245586
"435",2007,"AFG","Other sectors",16.2297199786888
"436",2008,"AFG","Power Industry",1.191471127997
"437",2008,"AFG","Buildings",0.4442982286527
"438",2008,"AFG","Transport",0.90915867215185
"439",2008,"AFG","Other industrial combustion",1.2792346764908
"440",2008,"AFG","Other sectors",17.5893673017498
"441",2009,"AFG","Power Industry",1.715392146447
"442",2009,"AFG","Buildings",0.632747782576
"443",2009,"AFG","Transport",1.8166147771759
"444",2009,"AFG","Other industrial combustion",1.4536774939054
"445",2009,"AFG","Other sectors",18.2835595009038
"446",2010,"AFG","Power Industry",2.089436398951
"447",2010,"AFG","Buildings",0.8051340928518
"448",2010,"AFG","Transport",2.4863237240527
"449",2010,"AFG","Other industrial combustion",1.9204595194914
"450",2010,"AFG","Other sectors",20.3630304021156
"451",2011,"AFG","Power Industry",2.33703613364054
"452",2011,"AFG","Buildings",1.05282128896544
"453",2011,"AFG","Transport",4.92779905210805
"454",2011,"AFG","Other industrial combustion",3.731867545976
"455",2011,"AFG","Other sectors",20.892378867767
"456",2012,"AFG","Power Industry",1.8363184167866
"457",2012,"AFG","Buildings",0.92048448986532
"458",2012,"AFG","Transport",4.09728980371106
"459",2012,"AFG","Other industrial combustion",2.9874108686708
"460",2012,"AFG","Other sectors",20.6940593120138
"461",2013,"AFG","Power Industry",1.60152863046288
"462",2013,"AFG","Buildings",1.0257449184994
"463",2013,"AFG","Transport",2.63014402589425
"464",2013,"AFG","Other industrial combustion",2.8015577370424
"465",2013,"AFG","Other sectors",20.5853516298936
"466",2014,"AFG","Power Industry",1.6699234274982
"467",2014,"AFG","Buildings",0.900831144219348
"468",2014,"AFG","Transport",1.95918073610945
"469",2014,"AFG","Other industrial combustion",2.7074411288476
"470",2014,"AFG","Other sectors",21.2240890188896
"471",2015,"AFG","Power Industry",2.60231019842616
"472",2015,"AFG","Buildings",0.762577928068862
"473",2015,"AFG","Transport",2.67377480224824
"474",2015,"AFG","Other industrial combustion",1.5579756278548
"475",2015,"AFG","Other sectors",20.6860114711475
"476",2016,"AFG","Power Industry",2.51360450779288
"477",2016,"AFG","Buildings",0.57563507303666
"478",2016,"AFG","Transport",1.79240517597581
"479",2016,"AFG","Other industrial combustion",1.2002950546308
"480",2016,"AFG","Other sectors",20.7779180911949
