"","year","iso3c","gdp"
"586",2011,"CRI",74204553881.7445
"587",2012,"CRI",77827659797.6796
"588",2013,"CRI",79769277884.2308
"589",2014,"CRI",82594793351.3326
"590",2015,"CRI",85611222082.6346
"591",2016,"CRI",89210594595.4435
"592",2017,"CRI",92919702561.3968
"593",2018,"CRI",94830320023.7552
"594",2019,"CRI",96886195661.473
"595",2020,"CRI",92487595400.7465
"596",2021,"CRI",94761675641.1224
"597",2022,"CRI",97985573203.5067
"598",2023,"CRI",103904300000
"599",2024,"CRI",1.09728e+11
"600",2025,"CRI",114902400000
"601",2026,"CRI",119484700000
"602",2027,"CRI",123650500000
"603",2028,"CRI",127562800000
"604",2029,"CRI",131306300000
"605",2030,"CRI",134929800000
"606",2031,"CRI",138459700000
"607",2032,"CRI",141908500000
"608",2033,"CRI",145282700000
"609",2034,"CRI",1.48585e+11
"610",2035,"CRI",151816900000
"611",2036,"CRI",1.5498e+11
"612",2037,"CRI",158075400000
"613",2038,"CRI",161103100000
"614",2039,"CRI",164062600000
"615",2040,"CRI",166953700000
"616",2041,"CRI",1.69777e+11
"617",2042,"CRI",172531400000
"618",2043,"CRI",175215300000
"619",2044,"CRI",177827500000
"620",2045,"CRI",180368100000
"621",2046,"CRI",182837900000
"622",2047,"CRI",185232500000
"623",2048,"CRI",187548600000
"624",2049,"CRI",189783300000
"625",2050,"CRI",191936700000
"626",2051,"CRI",194011600000
"627",2052,"CRI",196011500000
"628",2053,"CRI",1.97939e+11
"629",2054,"CRI",199798100000
"630",2055,"CRI",201595800000
"631",2056,"CRI",203342200000
"632",2057,"CRI",205044500000
"633",2058,"CRI",206711200000
"634",2059,"CRI",208352800000
"635",2060,"CRI",209982500000
"636",1995,"EA17",10298470303239.7
"637",1996,"EA17",10470419634543.1
"638",1997,"EA17",10762901722753.5
"639",1998,"EA17",11080437768903.4
"640",1999,"EA17",11396337966024.4
"641",2000,"EA17",11853963408269.7
"642",2001,"EA17",12121234221323.6
"643",2002,"EA17",12242412605019.8
"644",2003,"EA17",12340109431499.1
"645",2004,"EA17",12598022073292.8
"646",2005,"EA17",12827447297797.8
"647",2006,"EA17",13262243180993.1
"648",2007,"EA17",13666153867922.1
"649",2008,"EA17",13709338008417.7
"650",2009,"EA17",13085336339148.2
"651",2010,"EA17",13349048879402.8
"652",2011,"EA17",13569568398038
"653",2012,"EA17",13450542649181.2
"654",2013,"EA17",13421135019851.4
"655",2014,"EA17",13612521198219.6
"656",2015,"EA17",13879899928791.6
"657",2016,"EA17",14135540456607.9
"658",2017,"EA17",14522867468342.5
"659",2018,"EA17",14797156069265.7
"660",2019,"EA17",14992457426123.2
"661",2020,"EA17",13972174283251.1
"662",2021,"EA17",14575418063956.6
"663",2022,"EA17",15227218498568
"664",2023,"EA17",1.555026e+13
"665",2024,"EA17",1.577267e+13
"666",2025,"EA17",1.596692e+13
"667",2026,"EA17",1.615415e+13
"668",2027,"EA17",1.633934e+13
"669",2028,"EA17",1.652453e+13
"670",2029,"EA17",1.670863e+13
"671",2030,"EA17",1.6891e+13
"672",2031,"EA17",1.707163e+13
"673",2032,"EA17",1.725032e+13
"674",2033,"EA17",1.742735e+13
"675",2034,"EA17",1.760308e+13
"676",2035,"EA17",1.777792e+13
"677",2036,"EA17",1.795238e+13
"678",2037,"EA17",1.812649e+13
"679",2038,"EA17",1.830042e+13
"680",2039,"EA17",1.847432e+13
"681",2040,"EA17",1.864849e+13
"682",2041,"EA17",1.882341e+13
"683",2042,"EA17",1.899943e+13
"684",2043,"EA17",1.91771e+13
"685",2044,"EA17",1.935707e+13
"686",2045,"EA17",1.954008e+13
"687",2046,"EA17",1.972698e+13
"688",2047,"EA17",1.991821e+13
"689",2048,"EA17",2.011436e+13
"690",2049,"EA17",2.031604e+13
"691",2050,"EA17",2.052392e+13
"692",2051,"EA17",2.073865e+13
"693",2052,"EA17",2.096042e+13
"694",2053,"EA17",2.118941e+13
"695",2054,"EA17",2.142587e+13
"696",2055,"EA17",2.167021e+13
"697",2056,"EA17",2.192282e+13
"698",2057,"EA17",2.218362e+13
"699",2058,"EA17",2.245222e+13
"700",2059,"EA17",2.272814e+13
"701",2060,"EA17",2.301092e+13
"702",1990,"EUR",10505937385667.2
"703",1991,"EUR",10856232181491.8
"704",1992,"EUR",11026417627906.2
"705",1993,"EUR",10966432628089.6
"706",1994,"EUR",11261961612359.4
"707",1995,"EUR",11984911445618.4
"708",1996,"EUR",12220256578516.2
"709",1997,"EUR",12542529994863.5
"710",1998,"EUR",12908054311194.8
"711",1999,"EUR",13268536099680.8
"712",2000,"EUR",13805028864583.6
"713",2001,"EUR",14118622000357.4
"714",2002,"EUR",14290377153222.5
"715",2003,"EUR",14447830164801.2
"716",2004,"EUR",14815753460869.9
"717",2005,"EUR",15134976837398.8
"718",2006,"EUR",15705115897534.2
"719",2007,"EUR",16229012456941.1
"720",2008,"EUR",16354113327378.5
"721",2009,"EUR",15663348805408.8
"722",2010,"EUR",15982379923727.8
"723",2011,"EUR",16282727931186.8
"724",2012,"EUR",16178127832966.3
"725",2013,"EUR",16186207009981.6
"726",2014,"EUR",16460706521319
"727",2015,"EUR",16840866674333.6
"728",2016,"EUR",17186010094150.4
"729",2017,"EUR",17715314413184.6
"730",2018,"EUR",18118913385503.4
"731",2019,"EUR",18434033090875.3
"732",2020,"EUR",17291781248066.4
"733",2021,"EUR",18029285886748.9
"734",2022,"EUR",18832067054908.1
"735",2023,"EUR",19272131970000
"736",2024,"EUR",19592863160000
"737",2025,"EUR",19876090600000
"738",2026,"EUR",20146343300000
"739",2027,"EUR",20409921340000
"740",2028,"EUR",20669681550000
"741",2029,"EUR",20924589850000
"742",2030,"EUR",21174022280000
"743",2031,"EUR",21418008550000
"744",2032,"EUR",21656378360000
"745",2033,"EUR",21889531350000
"746",2034,"EUR",22117887590000
"747",2035,"EUR",22341975540000
"748",2036,"EUR",22562475630000
"749",2037,"EUR",22779637380000
"750",2038,"EUR",22993903470000
"751",2039,"EUR",23205687470000
"752",2040,"EUR",23415577910000
"753",2041,"EUR",23624438490000
"754",2042,"EUR",23832967940000
"755",2043,"EUR",24041970340000
"756",2044,"EUR",24252251700000
"757",2045,"EUR",24464669400000
